"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"VALUE";
"1";"0";"R-EU_R0402";"R0402";"L";"RESISTOR, European symbol";"";"";"";"CPL-RES-0402-0-0.063W";"";"";"";"";"";"";"";"";
"1";"1.5k";"R-EU_R0402";"R0402";"R17";"RESISTOR, European symbol";"";"";"";"ERJ2GEJ152X";"";"";"";"";"";"";"";"";
"6";"10";"R-EU_R0402";"R0402";"R1, R2, R3, R4, R20, R21";"RESISTOR, European symbol";"";"";"";"CPL-RES-0402-10-0.063W";"";"";"";"";"";"";"";"";
"6";"100n";"C-EUC0402";"C0402";"C4, C5, C6, C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"CPL-CAP-X7R-0402-100NF-16V";"";"";"";"";"";"";"";"";
"1";"12.1k";"R-EU_R0402";"R0402";"R7";"RESISTOR, European symbol";"";"";"";"ERJ-U02F1212X";"";"";"";"";"";"";"";"";
"1";"15uH";"LPS6235-153MRB";"LPS6235";"L1";"COILCRAFT - LPS6235-153MRB - INDUCTOR, SHLD, 15UH, 20%, 1.7A, SMD";"COILCRAFT - LPS6235-153MRB - INDUCTOR, SHLD, 15UH, 20%, 1.7A, SMD";"mm";"COILCRAFT";"LPS6235-153MRB";"994-LPS6235-153MRB";"https://www.mouser.com/Search/Refine.aspx?Keyword=994-LPS6235-153MRB";"";"";"";"";"";"";
"1";"1u";"C-EUC0402";"C0402";"C14";"CAPACITOR, European symbol";"";"";"";"CPL-CAP-X5R-0402-1UF-6.3V";"";"";"";"";"";"";"";"";
"1";"1u LOW ESR";"C-EUC0402";"C0402";"C3";"CAPACITOR, European symbol";"";"";"";"CPL-CAP-X5R-0402-1UF-6.3V";"";"";"";"";"";"";"";"";
"1";"2.2u";"C-EUC1210";"C1210";"C13";"CAPACITOR, European symbol";"";"";"";"C3225X7R1H225K250AB";"";"";"";"";"";"";"";"";
"1";"22n";"C-EUC0402";"C0402";"C1";"CAPACITOR, European symbol";"";"";"";"885012205052";"";"";"";"";"";"";"";"";
"3";"22u";"C-EUC0805";"C0805";"C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"CPL-CAP-X5R-0805-22UF-6.3V";"";"";"";"88";"";"";"C";"";
"1";"3.3n";"C-EUC0402";"C0402";"C15";"CAPACITOR, European symbol";"";"";"";"885012205064";"";"";"";"";"";"";"";"";
