Schematic Reference,MPN,Qty,Octopart URL
"IC3, IC4",WS2812B,2,https://octopart.com/ws2812b-worldsemi-107467967
U$3,HR911105A,1,https://octopart.com/hr911105a-hanrun-61493516
U$1,ESP32-WROOM-32D (4MB),1,https://octopart.com/esp32-wroom-32d+%284mb%29-espressif+systems-107387864
IC2,MAX17502EATB+T,1,https://octopart.com/max17502eatb%2Bt-maxim+integrated-22269240
L1,LPS6235-153MRB,1,https://octopart.com/lps6235-153mrb-coilcraft-30061416
U$2,LAN8720A-CP,1,https://octopart.com/lan8720a-cp-microchip-24995092
SW1,B3U-1000P,1,https://octopart.com/b3u-1000p-omron-1057357
IC1,SN74HC138PW,1,https://octopart.com/sn74hc138pw-texas+instruments-884216
C13,C3225X7R1H225K250AB,1,https://octopart.com/c3225x7r1h225k250ab-tdk-25947869
U$4,DF13-6P-1.25DSA,1,https://octopart.com/df13-6p-1.25dsa-hirose-261609
"C10, C11, C12",GRM21BR60J226ME39L,3,https://octopart.com/grm21br60j226me39l-murata-196432
"PROG, SPI_0, SPI_1, SPI_2, SPI_3, SPI_4, SPI_5, SPI_6, SPI_7",DF13-5P-1.25DSA,9,https://octopart.com/df13-5p-1.25dsa-hirose-261608
U$6,DF13-4P-1.25DSA,1,https://octopart.com/df13-4p-1.25dsa-hirose-261607
D2,HSMG-C190,1,https://octopart.com/hsmg-c190-broadcom-71131307
U$5,DF13-3P-1.25DSA,1,https://octopart.com/df13-3p-1.25dsa-hirose-261606
POWER,DF13-2P-1.25DSA,1,https://octopart.com/df13-2p-1.25dsa-hirose-261605
D1,HSMH-C190,1,https://octopart.com/hsmh-c190-broadcom-71131319
"C4, C5, C6, C7, C8, C9",C0603C104K5RACTU,6,https://octopart.com/c0603c104k5ractu-kemet-139244
R17,ERJ-3EKF1501V,1,https://octopart.com/erj-3ekf1501v-panasonic-55403651
C2,0101ZC471KAT2A,1,https://octopart.com/0101zc471kat2a-avx-75477894
R7,ERJ-U02F1212X,1,https://octopart.com/erj-u02f1212x-panasonic-26471576
"R5, R15, R16, R19, R22",ERJ-2RKF4701X,5,https://octopart.com/erj-2rkf4701x-panasonic-9266644
C3,CC0402KRX5R5BB105,1,https://octopart.com/cc0402krx5r5bb105-yageo-42244618
C14,CC0402KRX5R5BB105,1,https://octopart.com/cc0402krx5r5bb105-yageo-42244618
"R1, R2, R3, R4, R20, R21",ERJ-2RKF10R0X,6,https://octopart.com/erj-2rkf10r0x-panasonic-55404982
"R10, R11, R12, R13",CRCW040249R9FKEDC,4,https://octopart.com/crcw040249r9fkedc-vishay-23798224
R6,CRCW040233R0FKEDC,1,https://octopart.com/crcw040233r0fkedc-vishay-74573975
L,ERJ-2GE0R00X,1,https://octopart.com/erj-2ge0r00x-panasonic-55404976
C1,885012205052,1,https://octopart.com/885012205052-w%C3%BCrth+elektronik-53703189
C15,885012205064,1,https://octopart.com/885012205064-w%C3%BCrth+elektronik-53703201
"R8, R9, R14, R18",RC0402JR-13330RL,4,https://octopart.com/rc0402jr-13330rl-yageo-9296986
